,Column1,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,0,batsambo,"Motorbikes, eating, golf, hockey (a bit) and apparently old school wwe. All views are my own unless I've been hacked",,401,213,1605,0,@fakemegryan1 You should have a SuperbOwl party on the 13th of Feb,[]
1,1,Malrdshot,"Retired...Principal Owner of Freestyling Sales,LLC.","St Paul, MN",68,208,254,0,@Gorgamatic21 #12 next @Gorgamatic21 ??????  Superbowl bound!!!!!,[]
2,2,SozaCharts,"MLT in Toxicology ?? Published Scientist ?? , CEO / President of @samiaesthetics on IG / Real-estate Investor ?? , Oswego 20’?? #ManCity??","New York, USA",1317,1493,17927,0,Cheifs are taking the superbowl,[]
3,3,BigDan_14,,"Mechanicsburg, PA",66,17,18,0,"@DAonCBS @MrazCBS DAlien since 2018, joined Twitter just to show my love for the show! Caught the first hour of the show in my car, and will catch the rest later today on Audacy. Rams for my Superbowl pick. Can I get a beam up?! #UnPipeIt #HaveATaste #AmIDoingThisRight","['UnPipeIt', 'HaveATaste', 'AmIDoingThisRight']"
4,4,Brandominous,gamer who plays gamez,undisclosed,63,27,105,0,@placervilledude @plains_men @natalielphie @jeffrey_condon @JJDEMARAY wow so what ur saying is in the nfl games arent decided by qb vs qb? and u dont need a top 5 qb to win a superbowl? wow mindblowing stuff,[]
5,5,SBergerBOSTON,"3x brain tumor survivor #FCancer Raise awareness for brain tumor research.
Husband, Dad, The Berg, card collector & proud ASU Sun Devil Alum!",AZ via Americas home town,3906,4462,97730,0,Love looking at this frame in my office from when I was a cart driver driving coaches from the skybox to the locker room for #SuperBowl XXX on this date in 1996.   Small fact. Refused to drive the Steelers coaches.  You're welcome #Cowboys fans for that championship. https://t.co/M1naDVklDW,"['SuperBowl', 'Cowboys']"
6,6,russ_ewert,Uniting all nations on Earth on this God and Jesus Christ based calendar system. You heard it here first       https://t.co/3H5NCKeNwe,"Niagara Falls, NY",21,84,3103,0,Who thinks the Super Bowl should be on Saturday night? #SBLVI #SuperBowl #Saturday https://t.co/gma0aVzcli https://t.co/a6vPZOb3ep,"['SBLVI', 'SuperBowl', 'Saturday']"
7,7,johnbreech,"NFL writer for @CBSSports, @PickSixPod Super friend. 4-time turtle owner. 0-time horse owner. Want me to live tweet your kids birthday party? johnnybbad18@gmail",Nashville via SD-OAK-ATL-CIN,908,10312,24448,0,"Price is Right predicted before the season that the Bengals would make it to the Super Bowl and now that they're one game away, I'm starting to think that maybe we should just let Price is Right predict everything @DrewFromTV #Bengals #SuperBowl https://t.co/OETIVAHvc3","['Bengals', 'SuperBowl']"
8,8,CToddMcCormick1,HELPING GOOD THINGS HAPPEN TO NICE PEOPLE.,NYC,1191,47,610,0,I'M HAVING SOME BUYERS' REMORSE OVER ORDERING THE 35 POUND COLD CUT/CHEESE/DIP STADIUM FOR SUPERBOWL SUNDAY FOR ME AND THE DOG.,[]
9,9,SoumDesigns,Scandal fan,,51,16,1517,8,Two years ago Jennifer Lopez raised the bar to a new level with her legendary Superbowl halftime performance ?? ?? https://t.co/eO7w0pgo8m,[]
10,10,TravisThomasExp,Media Mogul https://t.co/0vFVjrrIPc,The DMV,710,2539,5710,1,@TravisThomasExp it's going to be Bengals VS Rams! In the Superbowl! RAMS WINS SUPERBOWL,[]
11,11,tarekdj31,bin,,1619,814,1067,275,@PepsiStronger History In The Making The @SuperBowl #PepsiHalftime Show @RocNation https://t.co/C7L22tnBcy,['PepsiHalftime']
12,12,rebeleus,"Guitarist, family man, remodeler. I am a mod dem. voted a few rep in way past (ill gov). never again. USA first. USA = all diffy race, color, religion thats it!",chicago burbs,133,83,1003,0,@nathaliejacoby1 like yesterday... It was a shock.. so sad....It silenced the Chicago Bears superbowl win here in Chicago... I recorded it on VHS tape that night from the news...,[]
13,13,paradiseRIH,probably listening to whitney,,331,200,29976,0,abels superbowl ate idc especially the beginning with the choir,[]
14,14,Rudolph218,"Husband, Weimaraner owner, upland bird hunter, Skol Vikings and Let's Go Wild","Kansas City, MO",835,299,10541,0,"@4WhomJBellTolls I'm a Vikings fan living in KC, so I donated $16 to my fellow 0 Superbowl brethren. I came up with $16 because both the Vikings have been to, and lost 4 SB's. 4+4+4+4=16",[]
15,15,StevenMulhern1,I'm a USA JUDO Visually impaired brown belt Athlete from South Philly. I'm here to have Fun Never Ever Give Up!,"Philadelphia, PA",1009,391,14654,1,@TravisThomasExp it's going to be Bengals VS Rams! In the Superbowl! RAMS WINS SUPERBOWL,[]
16,16,Asc6x25x7,"Hardcore since 84, Oakland - L.A. - Las Vegas -Tijuana Raiders, L.A Dodgers, L..A Lakers, LA. Kings",,368,170,6708,35,"No division wins 
No playoff wins
No conference wins 
No superbowl wins
Yet we afraid of change like we world beaters",[]
17,17,ravsurya,"46yo from cincy, living life...having fun #Cure Lupus","South Lamar, Austin",241,40,339,0,"@Bengals SuperBowl Bound...
PUT THAT IN UR PIPE &amp; SMOKE IT! https://t.co/P9Jv9eO1Jo",[]
18,18,senorhi3bs,"#NHL - Jets & Avalanche 
#NFL - Vikings
#MLB - Indians
#CFL - Blue Bombers
Hockey Canada ????
DC ?
MARVEL ?",,612,54,6363,0,@PurpleForTheWin Vikings lost by 31 points in the NFC championship. They definitely should not have been in the superbowl,[]
19,19,JiggaCJ,Join the best community on the planet https://t.co/FnUQNkJb35 ????,Bay Area,18,7,156,6,??????BAY APES TO THE MF SUPERBOWL??LETS GO @49ers ??BIG STEPPIN???? #49ers #TheBayApes #BigSteppin #SuperBowlLVI,"['49ers', 'TheBayApes', 'BigSteppin', 'SuperBowlLVI']"
20,20,1037TheGame,Acadiana's #1 Rated Sports Station! LSU Tigers Radio Network. Astros Baseball. NFL. Stream online or the 103.7 The Game Mobile App!,"Lafayette, LA",1906,2942,43012,0,Tune into @RPIII_Sports &amp; Company as he talks to #Superbowl Champion and Former #Saints Starting Linebacker @scottshanle to talk about his time at the Black &amp; Gold and Sean Payton!!,"['Superbowl', 'Saints']"
21,21,hannah5names,"""Practice like you've never won. Perform like you've never lost."" UL'21 5-15-17",United States,131,69,45,0,Tune into @RPIII_Sports &amp; Company as he talks to #Superbowl Champion and Former #Saints Starting Linebacker @scottshanle to talk about his time at the Black &amp; Gold and Sean Payton!!,"['Superbowl', 'Saints']"
22,22,EF_Grand2,,United States,623,191,58165,5,"Our team's headed to the end zone! Introducing our 2022 #SuperBowl lineup of commercials. You’ll hear from your favorite brands, like @BudweiserUSA and @MichelobULTRA, and get a closer look at a few of the new products we’ve been brewing. Learn more: https://t.co/jbjFJnii06 https://t.co/qzweeLHOpN",['SuperBowl']
23,23,NFL_UNICORN,"?Japanese Only & No favored team?
NFL?MLB??????
???????
?????????

?????????????????
????????????????????
(???????????)

????????

????????????????(?????)????",Living in Tokyo (???????),652,61,510589,108,"Coach Payton, Thank you SO much for all the  great years!! You turned the @Saints into a consistent contender &amp; delivered the first Superbowl in the teams history. You helped revive the city after Katrina.  All the best wishes in the next chapter of your life. Much Respect! ??? https://t.co/9HWdlnbJvc",[]
24,24,adrianamircia,,,68,241,52530,6,"Speaking like never before, Janet discusses everything including her Superbowl appearance with Justin Timberlake in 2004, the controversy surrounding her brother Michael Jackson, and becoming a mother later in life.

Sky Documentaries. 31 January. #JanetJacksonDoc https://t.co/H6M2QR2Kzq",[]
25,25,austin_tay23,"Just a guy being a dude.                                           
PSYCH Behavior Specialist
$AustinTay23",,527,468,5454,0,It's so crazy how the Bengals are gonna be in the Superbowl this year ??,[]
26,26,PerroBionico,"•Architect, single father, bearded, heartless bastard.
•First 10 https://t.co/vs69cX9K5q ?????
•Bearded Villain Member https://t.co/HaGqWaBKku",,1322,2154,99854,78,"Super Bowl, mailob.
#superbowl #nfl https://t.co/r21by6PlHj","['superbowl', 'nfl']"
27,27,TheLadyInfinite,existence is chaos. ? $theladyinfinite ?,"Past, Present & Future",411,74,37915,210,I see Dr. DRE all on the Superbowl commercials so I figured I would remind y'all that he assaulted Dee Barnes (during Superbowl XXV in 1997) pled no contest to the charges in court and SHE was the one Blacklisted from the rap industry because of it.,[]
28,28,Black41Reverse,My handle is a tribute to the famous play vs Oklahoma in 2001. #3StripeLife /// ??#FrostOrBust #InTrevWeTrust #GBR https://t.co/NFE8CzcRZp,"Lincoln,NE",632,772,87955,0,"@Coach_Devaney Twinkie the kid. 

But the Bud Bowl was amazing during the SuperBowl ??",[]
29,29,jrb7517,,SC,332,23,754,0,@2Left4Sum @69Sheeesh69 @nflrums Superbowl Wins and one of the most dominant teams in league history. I’m not a cowboys fan but he has the credentials as “one of the best”.,[]
30,30,SelectSportsNFT,SelectSports,Metaverse,27,4,5,0,"-2/13/22- Drop

#NFL #SuperBowl #NFTs #Metaverse","['NFL', 'SuperBowl', 'NFTs', 'Metaverse']"
31,31,kingoflakemoor,"I am attempting to live life to the fullest... every weekend. #FlipCupKing

https://t.co/k1VgCusEsG",CHI NW Burbs / PHX Scottsdale,708,182,15859,0,#VarsityClub602 SuperBowl Squares! Let me know if you want any https://t.co/fntAZdvJih,['VarsityClub602']
32,32,KetchupReactsYT,Avid Reader Of Books ?? ??????| Learning Krav Maga ?????? | Software Developer ?? | Future Pro ?? Player | Youtuber ?????? | Proud Native From Gary Indiana ??,"Gary, IN",318,36,1367,0,U mean @obj gone win another football game and proceed to go to the superbowl and win ?? https://t.co/FI7Gq50t8q,[]
33,33,JoseVirgen777,Just your common man with good ol' fashion horse sense.,"San Francisco, CA",0,3,1269,0,"https://t.co/Kj1UoBwYdy This entire fiasco could've been avoided if Brown would of  knowledged that he, like many people do, let his emotions get the best of him and regrettably overreacted. End of story, on to the Superbowl. But, no, pride got in the way of common sense, again.",[]
34,34,twomicsup,"?? Two Mics Up Podcast
?? Educate Empower Impact 
????  IG: https://t.co/tGHWTaKIeV
??: https://t.co/A9uyjEjthi
??Live from the DMV",United States,231,147,763,1,"@NFL Championship Weekend is here!  Which team advances to @SoFiStadium for the @SuperBowl?  Is it the @Chiefs the @Bengals the @RamsNFL or the @49ers? 

Hit us up on our poll and join @twomicsup ""LIVE"" Friday night January 28, 2022 at 7:30pm!
-
#NFL #SuperBowlLVI #TwoMicsUp",[]
35,35,brianhwaters,Associate Producer @itsmackmania @ringerwrestling | @NABJ @BABJ_MD| @WrestlingWrealm | Host of Breaking Through Glass Ceilings,"Baltimore, MD",8131,8913,225481,3,"The greatest defense of all time. Allowed only 10.3 ppg, and only 5 teams made it over 10 pts that season. Gave up 1 td thru the 4 playoff games. Then was the only team to never give up and offensive td in the superbowl. 4 ints (1td) and 5 sacks in the SB. GREATNESS! https://t.co/FhqKlSgHa5",[]
36,36,TheRealSlankDog,#actor and #voiceover artist. @SuchAVoice. Available for jobs within a few hours of Atlanta & other jobs if the pay is right. DM for reel & headshots.,"Cartersville, GA",2462,3221,3141,0,"The @RamsNFL are trying to become only the 2nd team in @NFL history to play in the @SuperBowl that is being played at their home field. The 1st was last year w/ @Buccaneers winning. 

The @49ers &amp; the #NinerFaithful are going to see that that doesn’t happen!",['NinerFaithful']
37,37,ConnectBal2more,Sports fan who loves Baltimore.,"Maryland, USA",80,39,5590,0,@BellaHackman The same fans saying that will be the same ones complaining if Lamar hypothetically went to another team snd wins a SuperBowl. They are probably the same fans that called for Flacco to get traded or released then every time Flacco’s name pops up on the Trade block they want him???????,[]
38,38,jaymane1982,,,190,26,1338,0,@ochocinco We love you Chad!  I had to break out my old 85 jersey last weekend for good luck.  I still think 05 was the year you had a shot at the Superbowl!,[]
39,39,superbOwl_618,"Same poo, different loo
SAC #1492 #3939 #931
?? ??So.Fla. born n raised ????
??West coast livin since 2020??
I don't sleep, I just buy NFTs
dm for partnerships","Scottsdale, AZ",4846,901,1297,1,"Yo if you were grindin in this space back in aug-sept-oct, have stayed grindin and continue to grind to this day, I salute you. I am you. I understand how much of a toll this can take, how much it can affect RL. Always get rest/take care of yourself. But do know YGMI. Keep going.",[]
40,40,jorgebus12,“Obsesionado es tan solo la palabra que utilizan los perezosos para describir a los dedicados.”,Monterrey,546,268,14322,78,"Super Bowl, mailob.
#superbowl #nfl https://t.co/r21by6PlHj","['superbowl', 'nfl']"
41,41,BOLTHYPE,THE B.O.A.T. ? SHOCKING TAKES? BOLD TYPA PERSON ??GLOBAL ICON ?? REAL-LIFE NINJA?? CLEAN ENERGY?? PLANT POWERED?? LEO ?? UNCOOL ROB ?? NEW WAVE ?? GEN Z COACH ?,"San Diego, CA",396,2420,8991,0,"Chiefs vs Rams in the SuperBowl seems like the most logical choice, but I'm going to go ahead and pick the outcome I would most like to see:

#RuleTheJungle to defeat #RamsHouse  in #SuperBowlLVI in L.A.

#NFL https://t.co/qxqd5ruQiP","['RuleTheJungle', 'RamsHouse', 'SuperBowlLVI', 'NFL']"
42,42,1_and_only_grip,"I'm Husband, Father of 4, Son of a Queen and Loyal fan To The Ohio State Buckeyes! All Praises Goes To The Creator! Born and Raised In Da Sip #662",Da Sip ,2200,2069,132793,3,"The greatest defense of all time. Allowed only 10.3 ppg, and only 5 teams made it over 10 pts that season. Gave up 1 td thru the 4 playoff games. Then was the only team to never give up and offensive td in the superbowl. 4 ints (1td) and 5 sacks in the SB. GREATNESS! https://t.co/FhqKlSgHa5",[]
43,43,trA_ImeIht,,"Scranton, PA",11,9,776,0,"@becvarjames @ItzLamarSZN @PFF Eli's 1st Superbowl MVP should've gone to the defense and it wasn't even close.
Also Ben should've won the MVP in his 2nd Superbowl",[]
44,44,kerryperry__,I’ll be the one defining who I’m gonna be. he/him luvu @katyperry | iggy x1 hehe,"Los Angeles, CA",1019,886,4745,0,@soshiperry !!! okayyy and the superbowl,[]
45,45,BethWms,"#PrettyLady #CoolRepub Beauty,Fashion & Ent. Expert /Sale & Mktg Professional/ Artist /Inventor https://t.co/imvvBwNbm8 https://t.co/feHe8CLfa3…","Jxn,MS/Dallas,TX",5000,1814,74396,9,"This just in!! @michaelstrahan, @CarlBanksGIII Create Super Bowl Collection!

??MSX For NFL x Starter Super Bowl collection ?? 

#Unisex #Nfl #SuperBowl 

https://t.co/OvKoAsQFjR 

 via @wwd @jeanpalmieri

@SMAC https://t.co/BEpjxMwGzB",[]
46,46,EliteLisa1,I'm elite I'm cool and gentle you can check more of my pictures  I'm looking  for a seriou relationship you can text me I'm not here for fun ok,,2,0,115,1,"@Buccaneers Thanks to Brady, I was able to see the Bucs win their second Superbowl. Being able to witness 2 Superbowls in my lifetime is more than some fan bases. 

Pleas dont let Jensen walk in the offseason.",[]
47,47,T_bear71,,"Methuen, MA",805,300,2931,5,"If Dr. Dre really want to do something historic, imagine this: During Superbowl time Dre, Kendrick, Snoop, Mary J Blige and Eminem all released new music. That would be insane.????",[]
48,48,RDickDownsQB,// RTG: Tampa Bay Bucs QB1 // Rookie Szn // 2x National Champ // Florida Heisman Winner // HoF TE for @roaddogs_,,257,257,1338,2,"The 2022 NFL Conference Championships are almost upon us! Who is going to make the Super Bowl? Let me know in the comments!
.
.
#rulethejungle #chiefskingdom #ramshouse #fttb #superbowl #superbowl2022 #nfl #nflplayoffs #football #joeburrow #patmahomes #nickbosa #mattstafford https://t.co/2OF6OcAEcC",[]
49,49,FoaterBoater,UF 22’ ?? Athlete Development|Nicodemus Group NFLPA assistant|??|??????,"Macomb, MI",1007,502,10488,2,"The 2022 NFL Conference Championships are almost upon us! Who is going to make the Super Bowl? Let me know in the comments!
.
.
#rulethejungle #chiefskingdom #ramshouse #fttb #superbowl #superbowl2022 #nfl #nflplayoffs #football #joeburrow #patmahomes #nickbosa #mattstafford https://t.co/2OF6OcAEcC",[]
50,50,RoryCalhoun,".there is no zero, less than zero, yes. And more than 50 shades of zero. winter solstice gone. If you can imagine it, it is. No end, in or to our sight.",Flint Hills,84,48,9239,0,@tszzl While it appears true Musk is the leading advocate for a new age sans our weakest attributes for a viable livable condition: it can not be true the LA Rams ?? QB is musk suited up for SuperBowl with Matt Stanford sitting in ‘sack cloth’ in a darkened room.,[]
51,51,ThatGuyNickk,"I tweet about politics, Britney Spears, and Grey’s Anatomy. Don’t take this app too seriously. ??","Austin, TX",310,99,2260,0,"Look, I’m sure they have some nice jingles ready, but men simply cannot deliver a good #SuperBowl halftime performance. I don’t make the rules. #SBLVI #PepsiHalftime https://t.co/hFSm8n6yN9","['SuperBowl', 'SBLVI', 'PepsiHalftime']"
52,52,PastorFromOK,That pastor from Oklahoma. Follow me @pastorfromok on tiktok! Join my Patreon: https://t.co/FgGLfpdXyO,"Oklahoma City, OK",431,981,1606,0,"Tell me I’m wrong… ??
#SuperBowl https://t.co/GSguVEEjaE",['SuperBowl']
53,53,BradMLee,"#AppState #Astros #Panthers. Radio.??  Sports Talk & Host of @ALL_AQCESS_CLT. Voted Best DFS/DraftKings YouTube Series 2018/2019.

??","Charlotte, NC",958,1632,18981,0,"Pulling for an App State Superbowl... (@AppState_FB )

Give Me The @Bengals &amp; @49ers

Douglas Middleton – 49ers / Practice squad

Akeem Davis Gaither – Bengals OUT Recovering Foot Inj",[]
54,54,GoateNation,Sports & Entertainment Media / Football Conversations / Player Profiles / Interviews / NIL opportunities soon,,124,112,28,2,"The 2022 NFL Conference Championships are almost upon us! Who is going to make the Super Bowl? Let me know in the comments!
.
.
#rulethejungle #chiefskingdom #ramshouse #fttb #superbowl #superbowl2022 #nfl #nflplayoffs #football #joeburrow #patmahomes #nickbosa #mattstafford https://t.co/2OF6OcAEcC","['rulethejungle', 'chiefskingdom', 'ramshouse', 'fttb', 'superbowl', 'superbowl2022', 'nfl', 'nflplayoffs', 'football', 'joeburrow', 'patmahomes', 'nickbosa', 'mattstafford']"
55,55,NFT_Hype_,NFT Community - Moderator @CrazyPantherNFT #1965 #95 | Holder of @Cool_Dogs_ #2307 #4120 | https://t.co/iT6dwXhbGz,United Kingdom,1899,1417,5807,2,"Looks like whoever just bought this panther is now holding a #SuperBowl block spot in our pool. Congratulations on the purchase and welcome to the ?? family!

#CrazyPanthers #NFT #NFTsales #NFTCommunity #NFTs https://t.co/jKyM3pPB94",['SuperBowl']
56,56,SlowNSear,"Two Zones are Better Than One!
Home of the #SlowNSear
High Quality Kettle Grills, Kamado Grills & Grill Accessories 
??: https://t.co/vkNSjBbNyb","Concord, NC",148,1880,2160,1,"Pig Shots Recipe - How to Make Smoked Pig Shots on the Grill  https://t.co/ASPAOm9oTf 

#bbq #barbecue #grilling #bacon #SuperBowlLVI #superbowl #recipe #Cooking https://t.co/ox1qun2JjO","['bbq', 'barbecue', 'grilling', 'bacon']"
57,57,BillOffer,"Big UM fan. Ferris alum. Retired Usher DGPA, Palace, DTE, Crisler & Big House. Starter/Ranger Boulder Pointe Golf Course. Love Tweeting on UM & Detroit sports!","Oxford, Mi",815,802,24998,12,"On January 24, 2021, the #KansasCityChiefs defeated the Buffalo Bills in the AFC Championship game 38 - 24 thus returning to the #SuperBowl for the 2nd consecutive year. Chiefs QB Patrick Mahomes (29 for 38, 325 yds , 3TDs) threw the most TD passes to whom? Answer at 6pm EST. RT!",['KansasCityChiefs']
58,58,westcoastnfts_,#SteelerNation #NFTCOLLECTOR #AlienFrens #CryptoonGoonz #PlayboyRabbitar #SuperYeti,"Los Angeles, CA",1895,454,21708,0,?? NFT’s will be part of @SNFonNBC halftime show?? @pepsi #Superbowl #LA,"['Superbowl', 'LA']"
59,59,ColeJosip,"A mediocre, 30-something year old gay man.
Pronouns: dumb/slut","Toronto, Ontario, CAN",180,28,1765,0,@RottenTomatoes @Schwarzenegger SuperBowl ad lol,[]
60,60,GTenshot,Strategic Partnerships @exchangedotio | NLL @NBATopShot | Early Access @NFLAllDay | Guardian @LuckyManekiNFT @ManekiGang | Lum-Lordz @HoodlumsNFT | Man @ LIFE,Oregon,1895,1084,4931,3,"What’s the biggest sporting event that you’ve been to before? ?? 

Let’s make that the Super Bowl! ??

Enter for an opportunity to win Super Bowl LVI tickets here: https://t.co/cKuVs7bizQ https://t.co/X9HOA94d2d",[]
61,61,westcoastnfts_,#SteelerNation #NFTCOLLECTOR #AlienFrens #CryptoonGoonz #PlayboyRabbitar #SuperYeti,"Los Angeles, CA",1895,454,21708,0,@NFTbark @BoredApeYC I’m not sure if they did but snoop has already confirmed NFT’s are apart of the SUPERBOWL halftime show!,[]
62,62,Ian31280,"Pro Gambler ??, Raven4Life ????","Middlesbrough, England",400,81,4834,0,"@sgellison Why doesn't John just fit a revolving door at the castle for all his former colleagues, friends, family etc...just the same old same old scenario, such a clicky organisation. What have we done since winning the Superbowl again oh that's right nothing !",[]
63,63,SIFMAFoundation,"We provide financial literacy programs that strengthen economic opportunity.
#StockMarketGame
#InvestWrite
#InvestItForward
#CapitolHillChallenge",,345,10622,2204,0,Our SMG participants tackle the #superbowl to evaluate the effect of ads on stock prices. You may not be at #SuperBowlLVI but you can get VIP access to its teachable moments by registering at https://t.co/v7czFS2xM9 #financialliteracy #SuperBowlAds https://t.co/JJCKSAq97s,"['superbowl', 'SuperBowlLVI', 'financialliteracy', 'SuperBowlAds']"
64,64,SpoonOfZeke,IFB FAST. Want a Promo? DM for info! #CowboysNation #DallasCowboys @NVStreams702 Marketing Director #NFL #NFLTwitter #NBATwitter,"Dallas, TX",27920,29075,59544,1,"Definitely not KC or Rams, much rather see CIN &amp; SF in the superbowl, different matchup but potentially lots of fun https://t.co/t7EkAjdOou",[]
65,65,stellaswanxoxo,"Aspiring Kabbalist/Enochian Magician/Astrologer or should I say Astral Navigator/Demonologist.

50% Anti Hero and 50% Anti Villain.",,238,144,7937,22,/Cheer for Hero's Heart Day! New HHD x Superbowl crossover set coming to https://t.co/7Rjp6sLMXv next month from @AranxAQW https://t.co/cEcvUVXvY4,[]
66,66,mikev787,Electrical Engineer. Christian. #BillsMafia. #PinstripePride. #GoSpursGo. #MeepMeep,"Hampton, VA",352,184,5675,0,"@hsimon62 I'd rather Cincy win so that I would feel like that could've happened to us. If KC cruises to a Superbowl win, that would just make me thing that the Bills could have done the same ??",[]
67,67,AdamRobillard4,I sell ?? / #Packers / #UFC / #Golf /,"Green Bay, WI",171,20,509,0,@MacSD93 @sammwichh we were 1 play away in our last playoff game and the 1st nfc championship from being at the superbowl. Denver would kill for that.. lol packers fans are too spoiled.,[]
68,68,IIIKolb15,Certified hater. Sad Bears Fan. Miserable Marlins fan. Sarcasm aficionado. #Dabears ???? #SeeRed ????,,131,60,2500,1,"Definitely not KC or Rams, much rather see CIN &amp; SF in the superbowl, different matchup but potentially lots of fun https://t.co/t7EkAjdOou",[]
69,69,rostylr,if only the time and space between us wasn’t lonely she/her | 26,nyc,383,662,32765,0,@n0tNESSAsarily yesss 2 you coming to nyc! but also come to superbowl fest ????,[]
70,70,Torryleepowers2,"#TeamPulte https://t.co/XvIXJpUNWW cashapp,$TorryPowers $CowBoyTorry handcash just trying to enjoy life and love making people laugh..","Beaufort, SC",5144,4786,66023,74,"If the @RamsNFL beat @49ers 
To advance to the superbowl
I'll give one of my followers $50 dollars 
Just retweet and follow me 

Tag some friends for good luck 
#TeamGator
#RamsHouse https://t.co/yPEFqbeTjW",[]
71,71,donegalderryvip,"?????????? ???????????????? ???????????????? ????????
?????????? ???????????? ???????????????? 
?????????? ????????????????
???????????? ????????????????",Donegal/Derry,949,1067,4785,0,"Watch the game with the team and get the full Superbowl experience, we have half time pizzas to keep you happy and mini games throughout the night along with our Superbowl prize draw.

Contact us today to find out the details ??",[]
72,72,donegalderryvip,"?????????? ???????????????? ???????????????? ????????
?????????? ???????????? ???????????????? 
?????????? ????????????????
???????????? ????????????????",Donegal/Derry,949,1067,4785,0,"You are cordially invited to the best Superbowl party in town!

The Vipers are once again having our annual Superbowl bash and we would love to see you all there. 

#superbowl #nfl #superbowlsunday  #superbowlparty #uppavipers #RiseAsOne #chiefs #49ers #bengals #rams https://t.co/RhD7mlwiZ7","['superbowl', 'nfl', 'superbowlsunday', 'superbowlparty', 'uppavipers', 'RiseAsOne', 'chiefs', '49ers', 'bengals', 'rams']"
73,73,MGVolv,Husband.Father.Carpenter.Sports Fanatic.Foodie.Music.Hunter,"Toronto, Ontario",845,152,11598,2,@breakfasttv My little man wishes @steelers QB @_BigBen7 a Happy Retirement!  Antonio is his biggest fan in Canada hands down! @NFL #SteelersNation #HereWeGo  #LoveandHonor #NFL They aren’t in the SuperBowl but it’s @steelers forever here! @breakfasttv @Sid_Seixeiro @DinaPugliese @devobrown https://t.co/9EOrhwf7w8,[]
74,74,MGVolv,Husband.Father.Carpenter.Sports Fanatic.Foodie.Music.Hunter,"Toronto, Ontario",845,152,11598,2,My little man wishes @steelers QB @_BigBen7 a Happy Retirement!  Antonio is his biggest fan in Canada! @NFL #SteelersNation #HereWeGo #LoveandHonor #NFL They aren’t in the SuperBowl but it’s @steelers forever! @breakfasttv @Sid_Seixeiro @DinaPugliese @devobrown https://t.co/H6AU8znrmG,[]
75,75,SportsIconLion,"I am 1 of 9,000 SportsIcon Lions in a collection of Lion NFTs - unique digital collectibles living on the Ethereum blockchain.",,65,119,705,2,"??We are giving away 3 SuperBowl tickets to @LionClubOff members!??

All you have to do is own a #LionClubNFT ??

Enter here:??
https://t.co/cKuVs6THIi",['LionClubNFT']
76,76,SomeSpookySnake,"Lead Writer and Script Director at Light Arc Studios, Ltd. Host of the horror podcast, @PodPeoplePod.","Durham, NC",232,112,5361,0,"@j3ssicka @TheStanitarium there’s nothing about this on imdb at all, so my money says this is a superbowl commercial lol",[]
77,77,robinsportsnews,Join http://t.co/tFgwIuOAlo for the best Sports News & Videos. Get the best updates on sports events and opinions from members of Twitter. Feel the excitement!,RT's Are FYI Purposes Only,6476,8803,934787,0,NFL betting: How long until Saints are contenders again without Sean Payton? - Yahoo Sports https://t.co/NrJd6dkgQ2 #NFL #Football #NFLNews #Superbowl,"['NFL', 'Football', 'NFLNews', 'Superbowl']"
78,78,calamitousfilms,A climate crisis messaging campaign to inspire urgency and increase awareness. Short films made on short time. #climatechange #climatecrisis,,47,12,17,0,"So much noise on twitter, but this on repeat: a mass media campaign is needed to spread urgency about #climatechange #climatecrisis. Perhaps an ad during #superbowl 2023?! Who will pay for it?: Jeff Bezos, Richard Branson, and Elon Musk for starters https://t.co/EvauOc4Eyl","['climatechange', 'climatecrisis', 'superbowl']"
79,79,LionClubOff,Official page for everything @Sportsicon #LionClubNFT related ?? Opensea: https://t.co/LaJGn2RKeP https://t.co/XhbfMrUhb9,,109,2109,2614,2,"??We are giving away 3 SuperBowl tickets to @LionClubOff members!??

All you have to do is own a #LionClubNFT ??

Enter here:??
https://t.co/cKuVs6THIi",['LionClubNFT']
80,80,PhinPhil,Life is great!,Cardinals & Chiefs Home,47,4,797,0,@PFF_Fantasy @NFLFantasy Definitely not going to forget or happen again.  I am thinking 49ers/Dolphins Superbowl and the game plan to stymie Marino.,[]
81,81,bigvicvibes,"I’m pretty much into music, sneakers, fashion, photography and digital art.","Charleston, SC",409,35,347,0,Idgaf about the superbowl but the halftime show this year??? I cannot wait,[]
82,82,JulesHabana,"If not now, when? / Green Bay Packers die hard fan, cheesehead for life!",World wide,198,202,31801,78,"Super Bowl, mailob.
#superbowl #nfl https://t.co/r21by6PlHj","['superbowl', 'nfl']"
83,83,Sammy_Socialite,Host of #HotSauce Podcast #Falcons #GT #True2Atlanta #VSU Graduate #APO; Sports/Entertainment Journalist; CONTENT CREATOR; DM for Business. @PastThePenMedia,"Atlanta, GA",4914,4668,616906,0,"The Aints really thought they was gon' be in the Superbowl inside Da Benz, AHT AHT AHT bih!",[]
84,84,TheExpansionBu1,What happens when a Seahawks fan and a Buccaneers fan have thoughts they think are worth sharing? This. New episodes every Thursday. Party like it's 1976!,,792,24,1282,0,Friday Poll: Which #SuperBowl matchup would you most like to see?,['SuperBowl']
